"","Tijdstempel","Student","Postcode","Geslacht","Leeftijd","Merkbekendheid","Reclameactiviteiten","Webshop","Social.media","Koopfactoren","Online.vs.fysiek","Informatietevredenheid","Koopbereidheid","Aanbevelen","Online.niet.aanwezig","Menselijk.contact","Persoonlijke.aandacht","Verbinding","Menselijke.betrokkenheid","Non.verbale.comm","Houding.verkopers","Beeld.verkopers","Community","Informatie.gebruikers","Bedrijf"
"245","26/04/2018 12:09:34","Ja",5443,"Man","19","Ja","Maandelijks","Ja","Ja","Prijs","Fysieke winkel",4,"Ja","Ja","Nee",3,3,3,3,3,3,3,3,3,"Ikea"
"246","26/04/2018 12:10:12","Ja",5446,"Vrouw","18","Ja","Maandelijks","Ja","Ja","Prijs, Reclame, Plaats, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Ja",3,3,3,3,3,3,3,3,3,"Ikea"
"247","26/04/2018 12:11:03","Ja",6566,"Vrouw","20","Ja","Maandelijks","Ja","Nee","Prijs, Plaats, Kwaliteit","Fysieke winkel",3,"Ja","Ja","Ja",2,2,2,2,2,3,1,2,2,"Ikea"
"248","26/04/2018 12:52:48","Ja",5831,"Vrouw","17 of jonger","Ja","Wekelijks","Ja","Nee","Prijs, Kwaliteit","Fysieke winkel",5,"Nee","Ja","Nee",3,3,1,4,3,5,1,1,5,"Ikea"
"249","26/04/2018 13:06:18","Ja",5446,"Vrouw","18","Ja","Wekelijks","Ja","Ja","Prijs, Reclame, Plaats","Online",3,"Ja","Ja","Ja",3,3,3,3,3,3,3,3,3,"Ikea"
"250","26/04/2018 13:49:56","Ja",5042,"Vrouw","21","Ja","Nooit","Ja","Nee","Prijs, Kwaliteit","Fysieke winkel",5,"Nee","Ja","Nee",3,2,2,2,2,2,2,2,2,"Ikea"
"251","26/04/2018 14:00:32","Ja",5446,"Man","20","Ja","Maandelijks","Nee","Nee","Prijs, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Nee",2,4,3,2,2,3,2,3,4,"Ikea"
"252","26/04/2018 14:25:38","Ja",6524,"Neutraal","19","Ja","Maandelijks","Ja","Nee","Prijs, Reclame, Plaats, Personeel, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Nee",2,2,2,2,2,3,1,4,3,"Ikea"
"253","26/04/2018 14:51:18","Ja",5446,"Man","19","Ja","Wekelijks","Ja","Nee","Prijs, Kwaliteit","Fysieke winkel",4,"Nee","Ja","Ja",3,3,3,3,3,3,3,3,3,"Ikea"
"254","26/04/2018 17:31:25","Ja",4556,"Neutraal","17 of jonger","Nee","Nooit","Nee","Nee","Kwaliteit","Online",5,"Ja","Ja","Nee",3,4,2,5,5,1,3,4,3,"Ikea"
"255","26/04/2018 19:17:38","Ja",5446,"Man","20","Ja","Wekelijks","Ja","Nee","Prijs, Kwaliteit","Fysieke winkel",4,"Nee","Ja","Nee",2,4,2,3,3,3,3,2,3,"Ikea"
"256","27/04/2018 02:08:05","Ja",6521,"Man","18","Ja","Maandelijks","Ja","Ja","Prijs, Kwaliteit","Fysieke winkel",5,"Ja","Ja","Nee",3,2,2,2,2,4,4,3,4,"Ikea"
"257","27/04/2018 10:47:26","Ja",5446,"Vrouw","18","Ja","Wekelijks","Ja","Ja","Prijs, Reclame, Plaats, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Nee",1,1,1,1,3,1,1,2,1,"Ikea"
"258","27/04/2018 21:13:00","Ja",6566,"Vrouw","20","Ja","Maandelijks","Ja","Nee","Prijs, Kwaliteit","Fysieke winkel",5,"Ja","Ja","Nee",3,2,3,2,1,4,2,2,4,"Ikea"
"259","28/04/2018 13:40:03","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ikea"
"260","29/04/2018 01:23:04","Ja",6532,"Vrouw","20","Ja","Wekelijks","Nee","Nee","Prijs, Kwaliteit","Fysieke winkel",2,"Ja","Ja","Nee",3,3,3,3,3,3,3,3,3,"Ikea"
"261","29/04/2018 14:48:08","Ja",6566,"Man","18","Ja","Maandelijks","Ja","Nee","Prijs, Plaats, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Ja",2,3,3,3,4,3,1,3,3,"Ikea"
"262","02/05/2018 11:16:13","Ja",6663,"Vrouw","19","Ja","Maandelijks","Ja","Nee","Prijs, Plaats, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Nee",3,4,3,3,3,4,4,4,3,"Ikea"
"263","10/05/2018 15:18:04","Ja",6524,"Vrouw","21","Ja","Maandelijks","Ja","Nee","Prijs","Fysieke winkel",4,"Ja","Ja","Nee",3,3,3,3,3,2,2,1,1,"Ikea"
"264","10/05/2018 15:19:52","Ja",6521,"Vrouw","22","Ja","Maandelijks","Ja","Nee","Prijs, Reclame, Plaats","Fysieke winkel",4,"Ja","Ja","Ja",4,2,3,3,2,3,3,2,2,"Ikea"
"265","10/05/2018 15:20:13","Ja",6571,"Vrouw","20","Ja","Wekelijks","Ja","Nee","Prijs, Reclame, Plaats","Fysieke winkel",5,"Ja","Ja","Nee",2,2,1,3,1,3,4,1,1,"Ikea"
"266","24/05/2018 11:30:31","Ja",6566,"Vrouw","19","Ja","Maandelijks","Ja","Nee","Prijs, Plaats, Kwaliteit","Fysieke winkel",5,"Nee","Ja","Ja",3,3,3,3,3,3,3,3,3,"Ikea"
"267","24/05/2018 11:31:31","Ja",7464,"Vrouw","19","Ja","Maandelijks","Ja","Nee","Prijs, Plaats, Kwaliteit","Fysieke winkel",5,"Nee","Ja","Ja",3,3,3,3,3,3,3,3,3,"Ikea"
"268","24/05/2018 11:33:07","Ja",6566,"Man","19","Ja","Maandelijks","Ja","Nee","Prijs, Reclame, Personeel","Fysieke winkel",5,"Ja","Ja","Ja",3,3,3,3,3,3,3,3,3,"Ikea"
"269","24/05/2018 11:34:23","Ja",6566,"Vrouw","19","Ja","Maandelijks","Ja","Nee","Prijs, Reclame, Plaats, Kwaliteit","Fysieke winkel",5,"Ja","Ja","Ja",3,3,3,3,3,3,3,3,3,"Ikea"
"270","24/05/2018 11:35:14","Ja",6566,"Vrouw","19","Ja","Wekelijks","Ja","Ja","Prijs, Reclame, Plaats, Personeel, Kwaliteit","Fysieke winkel",5,"Ja","Ja","Ja",4,4,4,4,4,4,4,4,4,"Ikea"
"271","24/05/2018 11:36:07","Ja",6566,"Vrouw","19","Ja","Nooit","Ja","Ja","Prijs, Reclame, Plaats, Kwaliteit","Fysieke winkel",5,"Ja","Ja","Ja",3,3,3,3,3,3,3,3,3,"Ikea"
"272","24/05/2018 11:37:12","Ja",6578,"Man","20","Ja","Maandelijks","Ja","Nee","Prijs, Reclame, Plaats, Kwaliteit","Fysieke winkel",5,"Ja","Ja","Ja",3,3,3,3,3,3,3,3,3,"Ikea"
"273","24/05/2018 11:38:23","Ja",6566,"Vrouw","19","Ja","Maandelijks","Ja","Ja","Prijs, Reclame, Plaats, Kwaliteit","Fysieke winkel",5,"Ja","Ja","Ja",4,4,4,4,4,4,4,4,4,"Ikea"
"274","24/05/2018 11:39:14","Ja",6578,"Vrouw","20","Ja","Maandelijks","Ja","Nee","Prijs, Reclame, Plaats, Personeel, Kwaliteit","Fysieke winkel",5,"Nee","Ja","Ja",4,3,3,4,4,3,3,4,3,"Ikea"
