"","Tijdstempel","Student","Geslacht","Leeftijd","Woonsituatie","Opleiding","Postcode","Waardering","Menselijk","Aangenaam","Persoonlijk","Non.Verbale.Comm","Betrokkenheid","Recensies","Populariteit","Bedrijf"
"122","9-5-2018 13:48:29","Ja","Man","20","Uitwonend","MBO",6543,8,6,7,6,7,6,6,7,"Rituals"
"123","9-5-2018 13:50:27","Ja","Man","23+","Uitwonend","VMBO",6814,7,6,7,9,8,7,7,9,"Rituals"
"124","9-5-2018 13:50:27","Ja","Man","21","Uitwonend","HAVO",7102,8,6,6,5,7,5,5,5,"Rituals"
"125","9-5-2018 13:50:44","Ja","Vrouw","18","Thuiswonend","VMBO",7329,10,8,9,9,9,8,8,8,"Rituals"
"126","9-5-2018 13:52:18","Ja","Man","23+","Thuiswonend","MBO",3904,7,7,7,7,7,7,7,7,"Rituals"
"127","9-5-2018 13:52:45","Ja","Man","17 of jonger","Thuiswonend","VMBO",3911,8,8,9,7,8,8,7,9,"Rituals"
"128","9-5-2018 13:54:46","Ja","Man","18","Thuiswonend","HAVO",318,5,5,5,5,5,5,5,5,"Rituals"
"129","9-5-2018 13:55:23","Ja","Man","19","Thuiswonend","HAVO",7103,7,7,7,7,7,7,7,7,"Rituals"
"130","9-5-2018 13:56:05","Ja","Man","19","Thuiswonend","VMBO",7102,7,7,7,7,7,7,7,8,"Rituals"
"131","9-5-2018 13:58:02","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rituals"
"132","9-5-2018 13:58:04","Ja","Vrouw","20","Uitwonend","HAVO",7322,8,7,7,6,7,7,8,9,"Rituals"
"133","9-5-2018 13:58:41","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rituals"
"134","9-5-2018 13:59:24","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rituals"
"135","9-5-2018 14:01:14","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rituals"
"136","9-5-2018 14:09:09","Ja","Vrouw","17 of jonger","Thuiswonend","HAVO",NA,7,7,7,7,8,7,6,8,"Rituals"
"137","9-5-2018 14:12:40","Ja","Vrouw","19","Uitwonend","HBO",6511,6,7,9,4,7,6,6,6,"Rituals"
"138","9-5-2018 14:15:18","Ja","Vrouw","19","Thuiswonend","HAVO",3707,7,7,8,7,7,7,2,5,"Rituals"
"139","9-5-2018 14:20:21","Ja","Man","18","Thuiswonend","HAVO",3911,7,8,7,8,7,6,5,6,"Rituals"
"140","9-5-2018 14:26:48","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rituals"
"141","9-5-2018 14:31:50","Ja","Man","20","Thuiswonend","HAVO",7107,5,5,5,5,5,5,5,5,"Rituals"
"142","9-5-2018 14:35:41","Ja","Man","21","Uitwonend","HAVO",6541,6,6,6,7,6,5,7,8,"Rituals"
"143","9-5-2018 14:50:25","Ja","Vrouw","19","Uitwonend","HAVO",6524,7,7,7,6,7,7,6,6,"Rituals"
"144","9-5-2018 15:10:14","Ja","Man","23+","Uitwonend","HAVO",6543,6,6,7,8,6,5,6,6,"Rituals"
"145","9-5-2018 15:13:48","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rituals"
"146","9-5-2018 17:38:06","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rituals"
"147","9-5-2018 18:00:35","Ja","Man","18","Thuiswonend","HAVO",3911,7,7,7,7,8,5,7,6,"Rituals"
"148","9-5-2018 18:14:50","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rituals"
"149","9-5-2018 18:35:14","Ja","Man","23+","Uitwonend","VWO",6543,6,5,6,5,5,5,5,5,"Rituals"
"150","9-5-2018 19:26:13","Ja","Man","21","Thuiswonend","VMBO",NA,7,8,8,8,8,8,7,9,"Rituals"
"151","9-5-2018 22:32:15","Ja","Man","18","Thuiswonend","VMBO",3526,8,8,9,10,10,10,10,10,"Rituals"
"152","9-5-2018 22:35:12","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rituals"
"153","9-5-2018 22:35:57","Ja","Vrouw","17 of jonger","Thuiswonend","HBO",3402,10,10,10,10,10,9,10,10,"Rituals"
"154","9-5-2018 23:07:35","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rituals"
"155","9-5-2018 23:08:22","Ja","Man","17 of jonger","Thuiswonend","HAVO",3911,1,9,10,9,9,10,9,9,"Rituals"
"156","9-5-2018 23:09:24","Ja","Man","19","Uitwonend","VMBO",3564,7,4,6,6,7,7,5,6,"Rituals"
"157","10-5-2018 0:36:51","Ja","Man","23+","Uitwonend","MBO",2541,7,6,7,7,7,8,8,8,"Rituals"
"158","10-5-2018 0:56:45","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rituals"
"159","10-5-2018 0:57:29","Ja","Man","18","Thuiswonend","MBO",6756,10,10,10,10,10,10,10,10,"Rituals"
