"","Tijdstempel","Student","Verzenden","Geslacht","Leeftijd","Device","Zoektijd.Verwacht","Zoektijd.Bereid","Begintijd","Eindtijd","Url","Prijs","Beginpunt","Tevredenheid","Bedrijf","Zoektijd"
"252","7-5-2018 16:34:31","Nee","Verzenden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G-Star",NA
"253","7-5-2018 16:35:23","Ja",NA,"Vrouw","17","Tablet","0-2 minuten","0-2 minuten",11:11:00,11:12:00,"https://www.g-star.com/nl_nl/shop/heren/sweaters/d07857-k007-6484?bgid=16196-AGI-32191522240-ASI-279611085509-853748925&gclid=CjwKCAjw8r_XBRBkEiwAjWGLlGWmF8poCdX0XEmpavjOigkZeYGG-MmaUOXYF9ykvuy_VRn6bnv7PhoCSvcQAvD_BwE","80","Zoekmachines",4,"G-Star",60
"254","7-5-2018 16:36:55","Nee","Verzenden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G-Star",NA
"255","7-5-2018 19:51:16","Ja",NA,"Man","17","Mobiele telefoon","0-2 minuten","0-2 minuten",19:51:00,19:52:00,"https://www.google.nl/search?biw=1821&bih=882&tbm=shop&ei=qpHwWrqKHo6kwQK18LzADQ&q=stor+sweater+gstar&oq=stor+sweater+gstar&gs_l=psy-ab.3...2930.3997.0.4326.6.6.0.0.0.0.83.341.6.6.0....0...1c.1.64.psy-ab..0.0.0....0.epC01RN0DBM","79,95","Zoekmachines",3,"G-Star",60
"256","7-5-2018 19:51:41","Ja",NA,"Man","20","Laptop","0-2 minuten","0-2 minuten",17:24:00,17:25:00,"https://www.google.nl/search?biw=1821&bih=882&tbm=shop&ei=qpHwWrqKHo6kwQK18LzADQ&q=stor+sweater+gstar&oq=stor+sweater+gstar&gs_l=psy-ab.3...2930.3997.0.4326.6.6.0.0.0.0.83.341.6.6.0....0...1c.1.64.psy-ab..0.0.0....0.epC01RN0DBM","79,95","Zoekmachines",3,"G-Star",60
"257","7-5-2018 19:52:12","Ja",NA,"Vrouw","19","Mobiele telefoon","0-2 minuten","0-2 minuten",22:01:00,22:05:00,"https://www.google.nl/search?biw=1821&bih=882&tbm=shop&ei=qpHwWrqKHo6kwQK18LzADQ&q=stor+sweater+gstar&oq=stor+sweater+gstar&gs_l=psy-ab.3...2930.3997.0.4326.6.6.0.0.0.0.83.341.6.6.0....0...1c.1.64.psy-ab..0.0.0....0.epC01RN0DBM","79,95","Zoekmachines",2,"G-Star",240
"258","7-5-2018 20:23:49","Ja",NA,"Vrouw","18","Laptop","3-5 minuten","3-5 minuten",21:12:00,21:17:00,"https://www.g-star.com/nl_nl/shop/heren/sweaters/d07857-k007-6484?bgid=16196-AGI-32191522240-ASI-279611085509-853748925&gclid=EAIaIQobChMIzZu9wbnz2gIVEjobCh38tAdQEAYYASABEgL9sPD_BwE","79.90","Website van het merk",3,"G-Star",300
"259","7-5-2018 23:02:22","Ja",NA,"Man","23","Laptop","0-2 minuten","0-2 minuten",23:00:00,23:02:00,"https://www.debijenkorf.nl/g-star-raw-stor-sweater-met-flock-logoprint-6578070002","79.85","Zoekmachines",2,"G-Star",120
"260","8-5-2018 10:15:09","Ja",NA,"Vrouw","23","Laptop","6-9 minuten","3-5 minuten",10:26:00,10:32:00,"https://www.g-star.com/nl_nl/shop/heren/sweaters/d07857-k007-6484?bgid=16196-AGI-32191522240-ASI-279611085509-853748925&gclid=EAIaIQobChMIzZu9wbnz2gIVEjobCh38tAdQEAYYASABEgL9sPD_BwE","79.90","Website van het merk",2,"G-Star",360
"261","8-5-2018 12:27:27","Ja",NA,"Man","24","Mobiele telefoon","0-2 minuten","3-5 minuten",12:25:00,12:28:00,"https://www.g-star.com/nl_nl/shop/heren/sweaters/d07857-k007-6484?bgid=16196-AGI-32191522240-ASI-279611085509-853748925&gclid=EAIaIQobChMIo6OJy_P12gIVAxbTCh2WMAUJEAkYASABEgIEBfD_BwE","79,95","Zoekmachines",3,"G-Star",180
